name,address,phone
La Bella Pinseria Romana,309 N Central Ave # 4,(818) 646-8599
Sayat Nova Restaurant & Banquet,822 E Colorado St,(818) 545-0199
Double K Ramen Sushi Teriyaki,932 E Colorado St,(323) 972-0274
Topz Restaurant,249 N Glendale Ave,(818) 265-3925
Chardash Restaurant,1014 E Colorado St,(818) 502-3300
Rainbow Sushi & Teriyaki,1200 S Brand Blvd,(818) 548-1230
Kanpai Ramen,1023 E Colorado St Ste D-1,(818) 956-5550
Enzo Trattoria,1104 E Broadway,(818) 240-0371
China Food Express,1139 E Colorado St,(818) 507-8868
Big Mama's & Papa's Pizzeria,231 N Brahm Blvd,(818) 242-6262
Uncle Johnny’s Barbeque,4227 San Fernando Rd,(818) 613-8399
Sealand Finest Meat & Seafood,418 N Glendale Ave,(818) 637-2600
Rafaels Burger and BBQ Corp,1143 E Broadway,(818) 696-9099
Thirsty Bar,345 Pioneer Dr,(818) 696-2675
Pinoeer,450 Pioneer Dr,(818) 548-1700
Cluck & Blaze,4000 San Fernando Rd,(818) 641-5566
Tsovinar Family Restaurant,1321 E Colorado St,(818) 247-1772
Bistro 800,800 N Central Ave,(818) 550-0828
Thai Worapatsanan,1355 E Colorado St,(818) 507-1107
Gamasot Seol Rung Tang,1355 E Colorado St,(818) 241-1464
Sushi2u,1361 E Colorado St,(818) 970-5002
Thai Me Upp,818 N Pacific Ave suite D,(818) 696-1277
Ginetun Restaurant & Bar,321 N Verdugo Rd,(818) 484-8705
Restaurant Maestro,325 1/2 N Verdugo Rd,(818) 500-9847
Buko Restaurant,327 N Verdugo Rd,(818) 243-1717
Fu House,1428 E Colorado St,(818) 241-3988
Graff Gennaro's,1109 N Brand Blvd,(818) 568-0600
